Date,Avg Temperature,Avg Humidity,Avg Wind Speed
2023-11-03,10.0,47.6,149.0
2023-11-04,8.0,40.6,130.0
2023-11-05,10.0,43.0,120.0
2023-11-06,11.0,41.5,111.0
2023-11-07,10.0,40.5,110.0
2023-11-08,8.0,40.1,126.0
2023-11-09,8.0,36.8,110.0
2023-11-10,9.0,40.8,124.0
2023-11-11,4.0,37.2,148.0
2023-11-12,6.0,38.5,135.0
2023-11-13,7.0,35.5,117.0
2023-11-14,11.0,43.0,118.0
2023-11-15,8.0,42.6,137.0
2023-11-16,7.0,39.6,139.0
2023-11-17,4.0,36.6,145.0
2023-11-18,4.0,36.2,145.0
2023-11-19,5.0,38.0,145.0
2023-11-20,9.0,45.9,149.0
2023-11-21,5.0,40.0,152.0
2023-11-22,-1.0,26.6,141.0
2023-11-23,5.0,34.8,128.0
2023-11-24,4.0,34.2,132.0
2023-11-25,1.0,30.8,143.0
2023-11-26,-1.0,26.6,136.0
2023-11-27,-1.0,25.4,133.0
2023-11-28,-2.0,26.1,144.0
2023-11-29,-4.0,20.2,136.0
2023-11-30,-1.0,26.6,139.0
2023-12-01,-2.0,26.0,151.0
2023-12-02,-3.0,25.7,151.0
2023-12-03,-3.0,23.8,142.0
2023-12-04,-7.0,15.6,143.0
2023-12-05,-4.0,21.0,136.0
2023-12-06,-2.0,27.4,150.0
2023-12-07,0.0,31.0,155.0
2023-12-08,-1.0,28.7,154.0
2023-12-09,1.0,31.1,148.0
2023-12-10,3.0,32.6,137.0
2023-12-11,7.0,39.0,130.0
2023-12-12,6.0,38.5,135.0
2023-12-13,5.0,39.8,152.0
2023-12-14,4.0,37.3,153.0
2023-12-15,2.0,32.9,144.0
2023-12-16,6.0,37.6,135.0
2023-12-17,6.0,38.1,132.0
2023-12-18,5.0,34.4,126.0
2023-12-19,6.0,31.9,108.0
2023-12-20,6.0,37.3,132.0
2023-12-21,6.0,37.4,130.0
2023-12-22,4.0,29.4,111.0
2023-12-23,1.0,30.1,136.0
2023-12-24,4.0,37.3,146.0
2023-12-25,11.0,45.0,126.0
2023-12-26,10.0,41.9,122.0
2023-12-27,4.0,32.1,125.0
2023-12-28,6.0,33.7,116.0
2023-12-29,9.0,38.1,114.0
2023-12-30,7.0,38.1,124.0
2023-12-31,2.0,34.1,149.0
